7zip 24.09-3
mkinitcpio-openswap 0.1.0-4
mobile-broadband-provider-info 20240407-1
moc 1:2.5.2-8
modemmanager 1.24.0-1
mongodb-compass 1.45.4-1
mongosh-bin 2.4.2-1
morc_menu 1.0+3+g2d89cb6-1
mousepad 0.6.5-1
mpv 1:0.40.0-3
mupdf 1.26.2-1
mupdf-tools 1.26.2-1
nano 8.5-1
nano-syntax-highlighting 2022.11.02.r102.gbb94603-1
naps2 8.2.0-1
nautilus 48.2-1
nb 7.14.0-1
ncdu 2.8.2-2.0
ndpi 4.12-2
neomutt 20250510-2
neovim 0.11.2-3
netctl 1.29-2
netdata 2.5.3-2
netperf 2.7.0-6
netstat-nat 1.4.10-5
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
networkmanager-openconnect 1.2.10-3
networkmanager-openvpn 1.12.0-1
networkmanager-pptp 1.2.12-6
networkmanager-vpnc 1.4.0-1
newsboat 2.39-2
nfs-utils 2.8.3-2
nload 0.7.4-8
nmap 7.97-1
noto-fonts-emoji 1:2.047-1
npm 11.4.2-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-3
numlockx 1.2-6
nvm 0.40.3-1
nvme-cli 2.13-1
obs-studio 31.0.3-2
obsidian 1.8.10-1
openresolv 3.16.5-1
openssh 10.0p1-3
os-prober 1.83-1
otree 0.4.0-1
pa-applet-git r19.3b4f8b3-8
packer 1.13.1-1
pamac-gtk 11.7.3-3
pandoc-cli 3.1.12.1-91
papirus-folders-catppuccin-git r30.f83671d1-2
patch 2.8-1
patchutils 0.4.2-3
pavucontrol 1:6.1-1
pcmanfm 1.4.0-1
pdftk 3.3.3-4
perl 5.40.2-1
perl-file-mimeinfo 0.35-2
pgcli 4.3.0-1
pipewire 1:1.4.5-1
pipewire-alsa 1:1.4.5-1
pipewire-jack 1:1.4.5-1
pipewire-pulse 1:1.4.5-1
pkgconf 2.4.3-1
plocate 1.1.23-1
polkit-gnome 0.105-11
poppler-data 0.4.12-2
portmaster-stub 1.0.13-1
powertop 2.15-2
prayer-times 0.3.1-1
