freetype2 2.13.3-3
fribidi 1.0.16-2
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fx 36.0.2-2
fzf 0.62.0-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.1.1+r7+gf36ec88aa85a-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gcolor3 2.4.0-8
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdbm 1.25-1
gdk-pixbuf-xlib 2.40.2-3
gdk-pixbuf2 2.42.12-2
gdu 5.30.1-1
gegl 0.4.62-1
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-3
geoip-database 20250129-1
gettext 0.25-1
ghc-libs 9.4.8-1
ghostscript 10.05.1-2
giflib 5.2.2-2
gimp 3.0.2-3
girara 0.4.5-1
git 2.49.0-2
git-delta 0.18.2-4
git-filter-repo 2.47.0-2
git-lfs 3.6.1-1
gitflow-cjs 2.2.1-1
github-cli 2.72.0-1
glances 4.3.1-1
glib-networking 1:2.80.1-1
glib-perl 1.329.4-2
glib2 2.84.1-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glow 2.1.0-1
glslang 1:1.4.313.0-1
glu 9.0.3-2
glusterfs 1:11.1-4
gmime3 3.2.15-1
gmp 6.3.0-2
gn 0.2223.6e8e0d6d-1
gnome-autoar 0.4.5-1
gnome-clocks 48.0-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-keyring 1:48.0-1
gnu-netcat 0.7.1-10
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
go 2:1.24.3-1
go-task 3.43.3-1
gobject-introspection-runtime 1.84.0-1
goocanvas 3.0.0-7
google-chrome 137.0.7151.55-1
gparted 1.7.0-1
gperf 3.1-5
gperftools 2.16-1
gpgme 1.24.2-1
gping 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
grafana 11.6.1-1
graphene 1.10.8-2
graphicsmagick 1.3.45-4
graphite 1:1.3.14-4
graphviz 12.2.1-1
grep 3.12-2
groff 1.23.0-7
grpc 1.72.0-1
grub 2:2.12.r292.g73d1c959-1
grub-theme-manjaro 20.2-16
gscan2pdf 2.13.4-1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-4
gsm 1.0.22-2
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-libav 1.26.1-1
gst-plugin-gtk 1.26.1-1
gst-plugins-bad 1.26.1-1
gst-plugins-bad-libs 1.26.1-1
gst-plugins-base 1.26.1-1
gst-plugins-base-libs 1.26.1-1
gst-plugins-good 1.26.1-1
gst-plugins-ugly 1.26.1-1
gstreamer 1.26.1-1
gtest 1.17.0-1
gthumb 3.12.7-1
gtk-layer-shell 0.9.1-1
gtk-update-icon-cache 1:4.18.5-2
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.49-2
gtk4 1:4.18.5-2
gtkmm 1:2.24.5-5
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview-pkgbuild 5-3
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceview5 5.16.0-2
gts 0.7.6.121130-3
gufw 24.04-4
guile 3.0.10-1
gulp 5.0.0-1
gum 0.16.0-1
gumbo-parser 0.13.0-1
gupnp 1:1.6.8-2
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gutenprint 5.3.5-1
gvfs 1.57.2-3
gvfs-afc 1.57.2-3
gvfs-gphoto2 1.57.2-3
gvfs-mtp 1.57.2-3
gvfs-smb 1.57.2-3
gxkb 0.9.6-1
gzip 1.14-2
handbrake 1.9.2-3
handbrake-cli 1.9.2-3
harfbuzz 11.2.1-1
harfbuzz-icu 11.2.1-1
