Package                   Version
trash-cli                 0.24.4.17
trove-classifiers         2024.5.23
Twisted                   24.3.0
typeguard                 4.2.1
typing_extensions         4.12.0
uc-micro-py               1.0.3
ueberzug                  18.2.3
ufw                       0.36.2
unrardll                  0.1.7
uritemplate               4.1.1
urllib3                   1.26.18
urwid                     2.6.10
userpath                  1.9.2
validate-pyproject        0.16
virtualenv                20.26.2
vit                       2.3.2
wcwidth                   0.2.13
webencodings              0.5.1
websocket-client          1.8.0
wheel                     0.43.0
xmltodict                 0.13.0
xxhash                    3.4.1
yq                        3.4.3
yt-dlp                    2024.5.27
zeroconf                  0.63.0
zipp                      3.18.1
zope.interface            6.3
zstandard                 0.22.0
