Package                       Version
pyOpenSSL                     25.3.0
pyparsing                     3.3.2
pyperclip                     1.11.0
pyppmd                        1.2.0
pyproject_hooks               1.2.0
PyQt5                         5.15.11
PyQt5_sip                     12.18.0
PyQt6                         6.10.2
PyQt6_sip                     13.11.1
PyQt6-WebEngine               6.10.0
pyserial                      3.5
PySide6                       6.10.2
PySocks                       1.7.1
pystray                       0.19.5
pytest                        8.4.2
pytest-asyncio                1.3.0
pytest-cov                    6.2.0
python-dateutil               2.9.0
python-discovery              1.1.3
python-json-logger            4.0.0
python-magic                  0.4.27
python-mpv-jsonipc            1.2.1
python-slugify                8.0.4
python-xlib                   0.33
pytimeparse                   1.1.8
pytz                          2025.2
pyxdg                         0.28
PyYAML                        6.0.3
pyzmq                         27.1.0
pyzstd                        0.19.1
qutebrowser                   3.6.3
ranger-fm                     1.9.4
RapidFuzz                     3.14.3
readability-lxml              0.8.4.1
recurring-ical-events         3.8.0
referencing                   0.37.0
regex                         2026.2.28
rencode                       1.0.8
requests                      2.32.5
requests-oauthlib             2.0.0
requests-toolbelt             1.0.0
rich                          14.3.3
roman-numerals-py             3.1.0
rpds-py                       0.30.0
rrdtool                       0.1.10
rsa                           4.9.1
ruamel.yaml                   0.18.10
ruamel.yaml.clib              0.2.15
s-tui                         1.3.0
scikit_build_core             0.11.6
scour                         0.38.2
screenkey                     1.5
SecretStorage                 3.4.0
Send2Trash                    1.8.3
service-identity              24.2.0
setproctitle                  1.3.7
setuptools                    82.0.1
setuptools-scm                9.2.2
sgmllib3k                     1.0.0
shellingham                   1.5.4
shiboken6                     6.10.2
shiboken6-generator           6.10.2
six                           1.17.0
sniffio                       1.3.1
snowballstemmer               3.0.0.1
sortedcontainers              2.4.0
soupsieve                     2.8.3
speedtest-cli                 2.1.3
Sphinx                        9.1.0
sphinx_basic_ng               1.0.0b2
sphinx_rtd_theme              2.0.0
sphinxcontrib-applehelp       2.0.0
sphinxcontrib-devhelp         2.0.0
sphinxcontrib-htmlhelp        2.1.0
sphinxcontrib-jquery          4.1
sphinxcontrib-jsmath          1.0.1
sphinxcontrib-qthelp          2.0.0
sphinxcontrib-serializinghtml 2.0.0
SQLAlchemy                    2.0.48
SSSDConfig                    2.12.0
stack_data                    0.6.4.dev0+g53501eb8b.d20251216
standard-cgi                  3.13.0
systemd-python                235
tasklib                       2.5.1
TBB                           0.2
termdown                      1.18.0
text-unidecode                1.3
texttable                     1.7.0
tinycss2                      1.5.1
todoman                       4.6.0
tomli                         2.4.0
tomlkit                       0.14.0
tornado                       6.5.3
tqdm                          4.67.3
traitlets                     5.14.3
trove-classifiers             2026.1.14.14
truststore                    0.10.4
Twisted                       24.7.0
typeguard                     4.5.1
typing_extensions             4.15.0
typing-inspection             0.4.2
tzdata                        2025.3
tzlocal                       5.3.1
uc-micro-py                   2.0.0
udiskie                       2.6.1
ufw                           0.36.2
unrardll                      0.1.7
uritemplate                   4.2.0
urllib3                       2.6.3
urwid                         3.0.5
userpath                      1.9.2
validate                      5.0.9
validate-pyproject            0.25
virtualenv                    21.2.0
vit                           2.3.3
vobject                       0.9.9
wcwidth                       0.6.0
webencodings                  0.5.1
websocket-client              1.9.0
Werkzeug                      3.1.4
wheel                         0.46.3
wrapt                         1.17.3
wsproto                       1.3.0
wxPython                      4.2.4
x_wr_timezone                 2.0.1
xlrd                          2.0.2
xmltodict                     1.0.4
xxhash                        3.6.0
yq                            3.4.3
zeroconf                      0.148.0
zipp                          3.21.0
zope.interface                8.2
zstandard                     0.25.0
zxcvbn                        4.5.0
