electron31 31.7.7-4
electron32-bin 32.3.3-2
electron34 34.5.8-1
electron36 36.7.4-1
electron37 37.2.6-2
elementary-icon-theme 8.1.0-1
enchant 2.8.12-1
endeavour 43.0-5
entr 5.7-1
eslint 9.31.0-1
ethtool 1:6.11-1
evince 48.1-1
evolution 3.56.2-2
evolution-data-server 3.56.2-2
exempi 2.6.6-2
exfatprogs 1.2.9-1
exiv2 0.28.5-1
exo 4.20.0-2
expac 10-11
expat 2.7.1-1
extra-cmake-modules 6.17.0-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fd 10.2.0-1
fdupes 1:2.4.0-2
feh 3.10.3-1
ffcall 2.5-1
ffmpeg 2:7.1.1-5
ffmpeg4.4 4.4.6-1
ffmpegthumbnailer 2.2.3-3
ffnvcodec-headers 13.0.19.0-1
fftw 3.3.10-7
file 5.46-5
filesystem 2025.05.03-1
findutils 4.10.0-3
firefox 141.0.3-1
firefox-pwa-bin 2.13.1-1
fish 4.0.2-1
flac 1.5.0-1
flameshot 13.0.1-1
flex 2.6.4-5
fluidsynth 2.4.7-1
fmt 11.2.0-1
folks 0.15.9-2
fontconfig 2:2.17.1-1
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-2
foomatic-db-gutenprint-ppds 5.3.5-1
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
fpp 0.9.5-1
freeglut 3.6.0-2
freetype2 2.13.3-3
freeze-bin 0.2.0-1
frei0r-plugins 2.3.3-4
fribidi 1.0.16-2
fritzing 1.0.4-2
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fx 39.0.1-1
fzf 0.65.1-1
galculator 2.1.4-10
garcon 4.20.0-2
gawk 5.3.2-1
gc 8.2.8-2
gcalcli 4.5.1-1
gcc 15.1.1+r500+gb1b8d8ce3eea-1
gcc-libs 15.1.1+r500+gb1b8d8ce3eea-1
gcolor3 2.4.0-9
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdal 3.11.3-3
gdbm 1.25-1
gdk-pixbuf-xlib 2.40.2-3
gdk-pixbuf2 2.42.12-2
gdu 5.31.0-1
geary 1:46.0-6
gegl 0.4.62-1
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-3
geoip-database 20250129-1
geos 3.13.1-1
gettext 0.26-1
gfeeds 2.2.0-5
gfxstream 0.1.2-2
ghc-libs 9.4.8-1
ghostscript 10.05.1-2
giflib 5.2.2-2
gimp 3.0.4-3
girara 0.4.5-1
git 2.50.1-3
git-delta 0.18.2-4
git-lfs 3.7.0-1
gitflow-cjs 2.2.1-1
github-cli 2.76.2-1
gitleaks 8.27.2-1
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.84.3-1
glib2-devel 2.84.3-1
glib2-docs 2.84.3-1
glibc 2.42+r3+gbc13db739377-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glm 1.0.1-1
glmark2 2023.01-2
glow 2.1.1-1
glslang 1:1.4.321.0-1
glu 9.0.3-2
glusterfs 1:11.1-5
gmime3 3.2.15-2
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-clocks 48.0-1
gnome-desktop 1:44.3-1
gnome-desktop-4 1:44.3-1
gnome-desktop-common 1:44.3-1
gnome-disk-utility 46.1-2
gnome-keyring 1:48.0-1
gnome-online-accounts 3.54.5-1
gnome-pomodoro-git r1304.1e48d37-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnuplot 6.0.3-1
gnustep-base 1.31.1-1
gnutls 3.8.10-1
go 2:1.24.6-1
go-task 3.44.1-1
goaccess 1.9.4-1
gobang-bin 0.1.0-1
gobject-introspection 1.84.0-2
gobject-introspection-runtime 1.84.0-2
gom 0.5.3-2
goreleaser 2.9.0-1
gparted 1.7.0-1
gperf 3.1-5
gperftools 2.17-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpick 0.3-2
gping 1.19.0-1
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
gputest 0.7.0-1
grafana 11.6.1-1
grantleetheme 25.04.3-1
graphene 1.10.8-2
graphicsmagick 1.3.45-5
graphite 1:1.3.14-5
graphviz 13.1.2-1
grep 3.12-2
grilo 0.3.19-1
groff 1.23.0-7
grpc 1.74.0-1
grub 2:2.12.r350.g0e367796-1
grub-customizer-git r795.2ecdc4c-1
grub-theme-manjaro 20.2-16
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-5
gsl 2.8-1
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-2
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.26.5-1
gst-plugins-bad 1.26.5-1
gst-plugins-bad-libs 1.26.5-1
gst-plugins-base 1.26.5-1
gst-plugins-base-libs 1.26.5-1
gst-plugins-good 1.26.5-1
gst-plugins-ugly 1.26.5-1
gstreamer 1.26.5-1
gtest 1.17.0-1
gtk-doc 1.34.0-3
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.18.6-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.49-2
gtk4 1:4.18.6-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview-pkgbuild 5-3
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceview5 5.16.0-2
gtop 1.1.5-2
gts 0.7.6.121130-3
gufw 26.04-1
guile 3.0.10-1
gum 0.16.2-1
gumbo-parser 0.13.1-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gutenprint 5.3.5-1
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-smb 1.57.2-4
gxkb 0.9.6-1
gzip 1.14-2
handbrake 1.10.0-1
handbrake-cli 1.10.0-1
harfbuzz 11.3.3-1
harfbuzz-icu 11.3.3-1
haskell-aeson 2.1.2.1-115
haskell-aeson-pretty 0.8.10-75
haskell-ansi-terminal 1.0.2-28
haskell-ansi-terminal-types 0.11.5-68
haskell-ansi-wl-pprint 1.0.2-12
haskell-appar 0.1.8-15
haskell-asn1-encoding 0.9.6-267
haskell-asn1-parse 0.9.5-266
haskell-asn1-types 0.3.4-245
haskell-assoc 1.1.1-39
haskell-async 2.2.5-120
haskell-attoparsec 0.14.4-111
haskell-attoparsec-aeson 2.1.0.0-99
haskell-attoparsec-iso8601 1.1.0.0-89
haskell-auto-update 0.1.6-385
haskell-base-compat 0.12.3-1
haskell-base-compat-batteries 0.12.3-20
haskell-base-orphans 0.9.1-21
haskell-base-unicode-symbols 0.2.4.2-15
haskell-base16-bytestring 1.0.2.0-116
haskell-base64 0.4.2.4-110
haskell-base64-bytestring 1.2.1.0-142
haskell-basement 0.0.16-3
haskell-bifunctors 5.6.1-3
haskell-bitvec 1.1.4.0-1
haskell-blaze-builder 0.4.3-2
haskell-blaze-html 0.9.2.0-37
haskell-blaze-markup 0.8.3.0-47
haskell-boring 0.2.2-1
haskell-bsb-http-chunked 0.0.0.4-431
haskell-byteorder 1.0.4-26
haskell-call-stack 0.4.0-254
haskell-case-insensitive 1.2.1.0-242
haskell-cassava 0.5.4.0-5
haskell-cereal 0.5.8.3-3
haskell-citeproc 0.8.1-195
haskell-cmdargs 0.10.22-3
haskell-colour 2.3.6-278
haskell-commonmark 0.2.5.1-34
haskell-commonmark-extensions 0.2.5.3-32
haskell-commonmark-pandoc 0.2.2.1-60
haskell-comonad 5.0.9-57
haskell-conduit 1.3.6.1-56
haskell-conduit-extra 1.3.7-11
haskell-constraints 0.13.4-91
haskell-contravariant 1.5.5-5
haskell-cookie 0.4.6-3
haskell-crypton 1.0.1-2
haskell-crypton-connection 0.4.1-19
haskell-crypton-x509 1.7.6-66
haskell-crypton-x509-store 1.6.10-7
haskell-crypton-x509-system 1.6.7-67
haskell-crypton-x509-validation 1.6.13-21
haskell-data-array-byte 0.1.0.1-80
haskell-data-default 0.7.1.1-356
haskell-data-default-class 0.1.2.0-26
haskell-data-default-instances-containers 0.1.0.3-1
haskell-data-default-instances-dlist 0.0.1.2-37
haskell-data-default-instances-old-locale 0.0.1-40
haskell-data-fix 0.3.4-9
haskell-dec 0.0.6-1
haskell-digest 0.0.1.7-3
haskell-digits 0.3.1-57
haskell-distributive 0.6.2.1-251
haskell-djot 0.1.1.3-38
haskell-dlist 1.0-287
haskell-doclayout 0.4.0.1-70
haskell-doctemplates 0.11-141
haskell-easy-file 0.2.5-57
haskell-emojis 0.1.4.1-18
haskell-erf 2.0.0.0-26
haskell-fast-logger 3.2.2-14
haskell-file-embed 0.0.16.0-1
haskell-foldable1-classes-compat 0.1-201
haskell-generically 0.1.1-24
haskell-ghc-bignum-orphans 0.1.1-3
haskell-glob 0.10.2-126
haskell-gridtables 0.1.0.0-89
haskell-haddock-library 1.11.0-103
haskell-hashable 1.4.4.0-105
haskell-hourglass 0.2.12-282
haskell-hslua 2.3.0-121
haskell-hslua-aeson 2.3.0.1-103
haskell-hslua-classes 2.3.0-118
haskell-hslua-core 2.3.1-110
haskell-hslua-list 1.1.3-48
haskell-hslua-marshalling 2.3.1-70
haskell-hslua-module-doclayout 1.1.1-22
haskell-hslua-module-path 1.1.1-23
haskell-hslua-module-system 1.1.1-33
haskell-hslua-module-text 1.1.0.1-96
haskell-hslua-module-version 1.1.1-65
haskell-hslua-module-zip 1.1.2-1
haskell-hslua-objectorientation 2.3.0-114
haskell-hslua-packaging 2.3.1-79
haskell-hslua-repl 0.1.2-76
haskell-hslua-typing 0.1.1-72
haskell-http-api-data 0.5.1-118
haskell-http-client 0.7.18-23
haskell-http-client-tls 0.3.6.4-46
haskell-http-date 0.0.11-174
haskell-http-media 0.8.1.1-50
haskell-http-types 0.12.4-70
haskell-http2 4.1.4-11
haskell-hunit 1.6.2.0-296
haskell-indexed-traversable 0.1.4-112
haskell-indexed-traversable-instances 0.1.2-61
haskell-integer-logarithms 1.0.4-14
haskell-iproute 1.7.15-20
haskell-ipynb 0.2-208
haskell-isocline 1.0.9-3
haskell-jira-wiki-markup 1.5.1-58
haskell-juicypixels 3.3.9-27
haskell-lexer 1.1.2-1
haskell-libyaml 0.1.4-84
haskell-lpeg 1.0.4-63
haskell-lua 2.3.3-35
haskell-memory 0.18.0-44
haskell-mime-types 0.1.2.0-3
haskell-mmorph 1.2.1-1
haskell-monad-control 1.0.3.1-141
haskell-mono-traversable 1.0.21.0-58
haskell-network 3.1.4.0-57
haskell-network-byte-order 0.1.7-3
haskell-network-uri 2.6.4.2-69
haskell-old-locale 1.0.0.7-32
haskell-old-time 1.1.0.4-4
haskell-onetuple 0.4.2-54
haskell-only 0.1-24
haskell-optparse-applicative 0.18.1.0-16
haskell-ordered-containers 0.2.4-36
haskell-os-string 2.0.7-46
haskell-pandoc 3.1.12.1-104
haskell-pandoc-lua-engine 0.2.1.2-190
haskell-pandoc-lua-marshal 0.2.7.1-6
haskell-pandoc-server 0.1.0.5-215
haskell-pandoc-types 1.23.1-89
haskell-pem 0.2.4-322
haskell-pretty-show 1.10-18
haskell-prettyprinter 1.7.1-232
haskell-prettyprinter-ansi-terminal 1.1.3-242
haskell-prettyprinter-compat-ansi-wl-pprint 1.0.2-13
haskell-primitive 0.9.0.0-4
haskell-psqueues 0.2.8.1-24
haskell-quickcheck 2.14.3-164
haskell-random 1.2.1.2-105
haskell-recv 0.1.1-7
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-18
haskell-resourcet 1.2.6-92
haskell-safe 0.3.21-41
haskell-safe-exceptions 0.1.7.4-60
haskell-scientific 0.3.7.0-154
haskell-semialign 1.3-49
haskell-semigroupoids 6.0.1-31
haskell-servant 0.20.2-67
haskell-servant-server 0.20.2-103
haskell-sha 1.6.4.4-21
haskell-simple-sendfile 0.2.32-117
haskell-singleton-bool 0.1.7-15
haskell-skylighting 0.14.1.1-76
haskell-skylighting-core 0.14.1.1-74
haskell-skylighting-format-ansi 0.1-208
haskell-skylighting-format-blaze-html 0.1.1.3-62
haskell-skylighting-format-context 0.1.0.2-172
haskell-skylighting-format-latex 0.1-207
haskell-socks 0.6.1-274
haskell-some 1.0.6-8
haskell-sop-core 0.5.0.2-3
haskell-split 0.2.5-44
haskell-splitmix 0.1.0.5-93
haskell-statevar 1.2.2-4
haskell-streaming-commons 0.2.3.0-20
haskell-strict 0.5-90
haskell-string-conversions 0.4.0.1-207
haskell-syb 0.7.2.4-63
haskell-tagged 0.8.9-2
haskell-tagsoup 0.14.8-262
haskell-tasty 1.4.3-152
haskell-temporary 1.3-702
haskell-texmath 0.12.8.7-57
haskell-text-conversions 0.3.1.1-100
haskell-text-icu 0.8.0.5-39
haskell-text-short 0.1.6-38
haskell-th-abstraction 0.5.0.0-1
haskell-th-compat 0.1.6-19
haskell-th-lift 0.8.5-1
haskell-th-lift-instances 0.1.20-87
haskell-these 1.2.1-29
haskell-time-compat 1.9.6.1-137
haskell-time-manager 0.0.1-82
haskell-tls 1.9.0-35
haskell-toml-parser 2.0.1.1-10
haskell-transformers-base 0.4.6-141
haskell-transformers-compat 0.7.2-3
haskell-type-equality 1.0.1-2
haskell-typed-process 0.2.13.0-9
haskell-typst 0.5.0.2-47
haskell-typst-symbols 0.1.5-2
haskell-unicode-collation 0.1.3.6-54
haskell-unicode-data 0.5.0-15
haskell-unicode-transforms 0.4.0.1-112
haskell-uniplate 1.6.13-271
haskell-unix-compat 0.7.4-3
haskell-unix-time 0.4.17-4
haskell-unliftio 0.2.25.1-25
haskell-unliftio-core 0.2.1.0-3
haskell-unordered-containers 0.2.20-70
haskell-utf8-string 1.0.2-191
haskell-uuid-types 1.0.6-28
haskell-vault 0.3.1.5-233
haskell-vector 0.13.2.0-34
haskell-vector-algorithms 0.9.1.0-46
haskell-vector-stream 0.1.0.1-3
haskell-wai 3.2.4-83
haskell-wai-app-static 3.1.9-130
haskell-wai-cors 0.2.7-419
haskell-wai-extra 3.1.17-39
haskell-wai-logger 2.5.0-67
haskell-warp 3.3.30-162
haskell-witherable 0.4.2-166
haskell-word8 0.1.3-24
haskell-xml 1.3.14-32
haskell-xml-conduit 1.9.1.4-68
haskell-xml-types 0.3.8-10
haskell-yaml 0.11.11.2-128
haskell-zip-archive 0.4.3.2-39
haskell-zlib 0.7.0.0-3
haveged 1.9.19-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highlight 4.16-2
highway 1.2.0-1
hiredis 1.3.0-1
hivex 1.3.24-4
hl 0.31.2-1
hplip 1:3.25.2-1
hslua-cli 1.4.3-16
htop 3.4.1-1
http-parser 2.9.4-2
httpie 3.2.4-1
httpie-desktop-bin 2025.2.0-1
hub 2.14.2-4
hugo 0.148.2-1
hunspell 1.7.2-2
hwdata 0.397-1
hwinfo 25.0-2
hwloc 2.12.1-1
hyphen 2.8.8-6
i3-default-artwork 20190912-2
i3-help 20180110-2
i3-resurrect 1.4.5-1
i3-scripts 20220913-2
i3-scrot 2.1-3
i3-wm 4.24-1
i3blocks 1.5-4
i3exit 20201126-2
i3lock-color 2.13.c.5-3
i3status 2.15-1
iana-etc 20250612-1
icon-naming-utils 0.8.90-6
icu 76.1-1
icu75 75.1-9
iftop 1.0pre4-6
ijs 0.35-6
imagemagick 7.1.2.0-2
imath 3.1.12-4
imlib2 1.12.5-1
inetutils 2.6-1
influx-cli 2.7.3-1
iniparser 4.2.6-2
inkscape 1.4.2-7
intel-compute-runtime 25.27.34303.5-1
intel-gmmlib 22.7.2-1
intel-graphics-compiler 1:2.14.1-1
intel-ucode 20250512-1
intltool 0.51.0-6
inxi 3.3.38.1-1
iperf 2.2.1-1
iperf3 3.19.1-1
ipp-usb 0.9.30-1
iproute2 6.16.0-2
iptables 1:1.8.11-2
iputils 20250605-1
ipython 9.4.0-1
iso-codes 4.18.0-1
itstool 1:2.0.7-3
iw 6.9-1
jack2 1.9.22-1
jansson 2.14.1-1
jasper 4.2.5-1
java-commons-lang 3.17.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk17-openjdk 17.0.16.u8-1
jellyfin-mpv-shim 2.9.0-1
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jftui 0.7.2-1
jose 14-1
jpegoptim 1.5.5-3
jq 1.8.1-1
jqp 0.7.0-1
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jupyter-nbclient 0.10.2-2
jupyter-nbconvert 7.16.6-1
jupyter-nbformat 5.10.4-3
jupyter-notebook 7.4.4-1
jupyter-notebook-shim 0.2.4-3
jupyter-server 2.16.0-1
jupyterlab 4.4.5-1
jupyterlab-pygments 0.3.0-3
just 1.42.4-1
jwt-cli 6.2.0-1
jxrlib 0.2.4-2
k9s 0.50.9-1
kaccounts-integration 25.04.3-1
kakoune 2024.05.18-3
kanata 1.7.0-1
karchive 6.17.0-1
karchive5 5.116.0-1
kauth 6.17.0-1
kauth5 5.116.0-1
kbd 2.8.0-1
kbookmarks 6.17.0-1
kbookmarks5 5.116.0-1
kcalendarcore 6.17.0-1
kcmutils 6.17.0-1
kcodecs 6.17.0-1
kcodecs5 5.116.0-1
kcolorchooser 25.04.3-1
kcolorscheme 6.17.0-1
kcompletion 6.17.0-1
kcompletion5 5.116.0-1
kconfig 6.17.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.17.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.17.0-1
kcoreaddons 6.17.0-1
kcoreaddons5 5.116.0-1
kcrash 6.17.0-1
kcrash5 5.116.0-1
kdbusaddons 6.17.0-1
kdbusaddons5 5.116.0-1
kdeclarative5 5.116.0-1
kded5 5.116.0-1
kdenlive 25.04.3-1
kdsingleapplication 1.2.0-1
keepassxc 2.7.10-3
keyutils 1.6.3-3
kfilemetadata 6.17.0-1
kglobalaccel 6.17.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.17.0-1
kguiaddons5 5.116.0-1
ki18n 6.17.0-1
ki18n5 5.116.0-1
kiconthemes 6.17.0-1
kiconthemes5 5.116.0-1
kio 6.17.0-1
kio5 5.116.0-2
kirigami 6.17.0-1
kirigami2 5.116.0-1
kitemmodels 6.17.0-1
kitemmodels5 5.116.0-1
kitemviews 6.17.0-1
kitemviews5 5.116.0-1
kitty 0.42.2-1
kitty-shell-integration 0.42.2-1
kitty-terminfo 0.42.2-1
kjobwidgets 6.17.0-1
kjobwidgets5 5.116.0-1
kmime 25.04.3-1
kmod 34.2-1
knewstuff 6.17.0-1
knewstuff5 5.116.0-3
knotifications 6.17.0-1
knotifications5 5.116.0-1
knotifyconfig 6.17.0-1
knotifyconfig5 5.116.0-1
ko 0.18.0-1
kompose 1.36.0-1
konsole 25.04.3-1
kpackage 6.17.0-1
kpackage5 5.116.0-1
kparts 6.17.0-1
kparts5 5.116.0-1
kpty 6.17.0-1
kpty5 5.116.0-1
krb5 1.21.3-2
ksanecore 25.04.3-1
kservice 6.17.0-1
kservice5 5.116.0-1
ktextaddons 1.7.0-1
ktexttemplate 6.17.0-1
ktextwidgets 6.17.0-1
ktextwidgets5 5.116.0-1
kubectl 1.33.3-1
kvantum 1.1.5-1
kvantum-manjaro 0.13.5+5+g0179d45-4
kvantum-qt5 1.1.5-1
kwallet 6.17.0-1
kwallet5 5.116.0-3
kwidgetsaddons 6.17.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.17.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.17.0-1
kxmlgui5 5.116.0-1
kyotocabinet 1.2.79-2
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lazydocker-bin 0.24.1-1
lazygit 0.54.1-1
lazynpm 0.1.4-1
lazysql 0.3.4-1
lcms2 2.17-1
ldb 2:4.22.3-1
ldns 1.8.4-1
leancrypto 1.5.1-1
lensfun 1:0.3.4-5
leptonica 1.85.0-2
less 1:679-1
lib2geom 1.4-2
lib32-audit 4.0.5-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.15.0-1
lib32-e2fsprogs 1.47.3-1
lib32-expat 2.7.1-1
lib32-flex 2.6.4-5
lib32-gcc-libs 15.1.1+r500+gb1b8d8ce3eea-1
lib32-glibc 2.42+r3+gbc13db739377-1
lib32-icu 76.1-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.76-1
lib32-libdrm 2.4.125-1
lib32-libelf 0.193-1
lib32-libffi 3.5.1-1
lib32-libgcrypt 1.11.1-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.55-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.66.0-1
lib32-libnghttp3 1.11.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtirpc 1.3.6-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libva 2.22.0-1
lib32-libva-vdpau-driver 0.7.4-8
lib32-libvdpau 1.5-3
